IIiii,lat,lon,RR
58443,31.01666666666666,119.89999999999999,40.285714285714285
58444,30.416666666666664,120.28333333333332,59.142857142857146
58446,30.63333333333333,119.70000000000002,48.285714285714285
58448,30.300000000000004,119.73333333333333,61.285714285714285
58449,30.050000000000004,119.95000000000002,64.28571428571429
58450,30.849999999999998,120.08333333333334,26.857142857142858
58451,30.833333333333336,120.91666666666666,30.857142857142858
58452,30.73333333333334,120.75,28.285714285714285
58453,30.066666666666666,120.5,59.142857142857146
58454,30.533333333333335,119.98333333333333,42.714285714285715
58455,30.51666666666666,120.63333333333334,55.0
58456,30.63333333333333,120.51666666666667,36.57142857142857
58457,30.23333333333334,120.16666666666666,67.28571428571429
58458,30.533333333333335,120.89999999999999,57.57142857142857
58459,30.183333333333334,120.28333333333332,75.71428571428571
58464,30.650000000000002,121.11666666666666,43.714285714285715
58466,30.599999999999998,122.08333333333334,27.714285714285715
58467,30.199999999999996,121.29999999999998,106.71428571428571
58468,30.050000000000004,121.16666666666666,70.57142857142857
58469,30.316666666666666,121.95000000000002,71.0
58471,30.61666666666667,122.41666666666666,13.142857142857142
58472,30.73333333333334,122.45000000000002,14.714285714285714
58473,30.73333333333334,122.81666666666663,14.142857142857142
58476,30.349999999999998,122.18333333333337,26.285714285714285
58477,30.033333333333335,122.10000000000001,94.0
58478,30.25,122.08333333333334,37.57142857142857
58484,30.25,122.20000000000002,78.0
58487,30.183333333333334,122.68333333333337,47.714285714285715
58537,29.13333333333333,118.39999999999999,13.714285714285714
58542,29.816666666666666,119.68333333333337,53.57142857142857
58543,29.61666666666667,119.01666666666667,23.857142857142858
58544,29.48333333333334,119.26666666666667,23.857142857142858
58546,29.466666666666665,119.88333333333334,32.285714285714285
58547,29.033333333333335,119.18333333333337,33.57142857142857
58548,29.216666666666665,119.46666666666668,34.285714285714285
58549,29.11666666666667,119.64999999999999,28.285714285714285
58550,29.699999999999996,120.25,51.142857142857146
58553,30.050000000000004,120.81666666666663,53.42857142857143
58554,30.166666666666664,120.88333333333334,51.42857142857143
58555,29.51666666666666,120.88333333333334,33.857142857142854
58556,29.599999999999998,120.81666666666663,19.571428571428573
58557,29.316666666666666,120.06666666666663,26.428571428571427
58558,29.26666666666666,120.21666666666668,11.142857142857142
58559,29.152780000000003,120.97055999999999,98.85714285714286
58560,29.050000000000004,120.43333333333337,81.14285714285714
58561,29.98333333333334,121.60000000000001,107.28571428571429
58562,29.800000000000004,121.5,86.71428571428571
58563,29.88333333333333,121.83333333333334,142.0
58564,29.26666666666666,121.5,78.42857142857143
58565,29.699999999999996,121.38333333333334,66.42857142857143
58566,29.466666666666665,121.88333333333334,118.28571428571429
58567,29.316666666666666,121.43333333333337,200.14285714285714
58568,29.122780000000002,121.38333,156.71428571428572
58569,29.199999999999996,121.95000000000002,66.57142857142857
58570,29.949999999999996,122.29999999999998,46.57142857142857
58571,29.86666666666667,122.26666666666667,49.857142857142854
58572,29.933333333333334,122.45000000000002,56.285714285714285
58573,29.75,122.75,22.571428571428573
58574,29.63333333333333,122.01666666666667,119.57142857142857
58631,28.900000000000002,118.5,22.142857142857142
58632,28.75,118.63333333333334,25.428571428571427
58633,29.0,118.89999999999999,22.428571428571427
58642,28.88333333333333,119.79999999999998,53.714285714285715
58643,28.900000000000002,120.03333333333332,13.0
58644,28.599999999999998,119.28333333333332,22.428571428571427
58645,28.433333333333334,119.48333333333333,32.285714285714285
58646,28.449999999999996,119.91666666666666,29.428571428571427
58647,28.083333333333336,119.13333333333334,13.0
58648,27.99195,119.635,68.71428571428571
58652,28.86722,120.71889,108.14285714285714
58653,28.80972,120.92219999999999,486.14285714285717
58654,28.666666666666664,120.08333333333334,37.285714285714285
58656,28.066666666666666,120.96666666666668,89.42857142857143
58657,28.150000000000002,120.28333333333332,13.857142857142858
58658,28.150000000000002,120.68333333333337,65.71428571428571
58659,28.033333333333335,120.64999999999999,22.857142857142858
58660,28.873889999999996,121.19277999999998,173.14285714285714
58661,28.662499999999998,121.5108,93.57142857142857
58662,29.013100000000005,121.7056,42.714285714285715
58663,28.718889999999995,121.91560000000001,42.57142857142857
58664,28.372780000000002,121.35888999999999,230.42857142857142
58665,28.618060000000007,121.41638999999999,83.28571428571429
58666,28.446,121.90333,114.14285714285714
58667,28.077499999999993,121.27083000000002,207.14285714285714
58668,28.095830000000003,121.52,106.57142857142857
58669,28.260316999999993,121.61625200000002,87.71428571428571
58742,28.11666666666667,119.54999999999998,13.428571428571429
58745,27.61666666666667,119.08333333333334,6.0
58746,27.550000000000004,119.70000000000002,2.0
58750,27.783333333333335,120.08333333333334,4.571428571428571
58751,27.666666666666664,120.56666666666663,0.7142857142857143
58752,27.783333333333335,120.64999999999999,1.5714285714285714
58753,27.800000000000004,120.76666666666667,5.428571428571429
58755,27.5,120.38333333333334,0.5714285714285714
58758,27.166666666666664,120.48333333333333,13.285714285714286
58760,27.833333333333336,121.14999999999999,128.71428571428572
58761,28.0,121.23333333333333,148.0
58762,27.783333333333335,121.08333333333334,40.857142857142854
58763,28.183333333333334,121.10000000000001,55.0
58764,27.466666666666665,121.08333333333334,10.285714285714286
58765,27.63333333333333,121.20000000000002,16.714285714285715
58768,27.550000000000004,121.39999999999999,18.0
